Cliente,Idade,Frequência de Visitas,Atendimento ao Cliente,Qualidade dos Produtos,Limpeza da Loja,Variedade de Produtos,Preço dos Produtos
1,56,8,6,1,10,5,4
2,46,8,8,1,1,1,9
3,32,3,5,5,2,7,2
4,60,1,4,6,6,7,9
5,25,8,2,3,9,9,1
6,38,3,6,9,8,3,1
7,56,3,6,5,5,9,5
8,36,1,1,8,1,1,6
9,40,5,9,1,7,1,6
10,28,7,6,5,5,4,3
11,28,9,3,3,6,9,7
12,41,7,4,1,7,6,9
13,53,9,4,4,3,3,10
14,57,8,3,5,10,1,8
15,41,2,10,7,3,4,6
16,20,1,3,1,5,9,8
17,39,7,3,3,6,3,5
18,19,7,4,2,9,9,8
19,41,8,7,9,5,7,10
20,61,5,4,10,1,4,4
21,47,3,9,6,4,3,10
22,55,8,1,10,5,10,8
23,19,6,8,3,10,5,10
24,38,3,7,8,10,5,2
25,50,1,2,8,5,3,5
26,29,3,8,2,7,9,9
27,39,5,1,6,4,4,4
28,61,3,9,7,1,5,6
29,42,1,9,2,5,4,1
30,44,5,2,10,7,5,9
31,59,7,7,2,10,7,1
32,45,7,10,10,10,9,5
33,33,9,3,1,6,7,4
34,32,3,7,8,5,5,3
35,64,7,10,1,4,10,6
36,61,1,9,9,2,10,2
37,20,4,4,6,4,7,3
38,54,4,1,7,10,10,5
39,24,5,2,10,10,5,9
40,38,7,1,7,3,3,2
41,26,7,5,10,10,7,10
42,56,4,5,3,1,2,8
43,35,7,7,2,8,9,2
44,21,3,9,9,5,10,5
45,42,6,9,8,4,10,7
46,31,2,3,10,8,1,8
47,26,9,3,7,7,6,1
48,43,5,3,9,2,7,6
49,19,6,4,4,1,8,1
50,37,4,8,4,4,10,2
51,45,7,6,1,8,9,1
52,64,9,8,8,2,2,5
53,24,7,1,3,3,10,10
54,61,1,8,7,1,2,9
55,25,1,4,2,1,5,6
56,64,9,1,2,3,5,1
57,52,9,8,7,5,6,1
58,31,4,4,6,3,3,2
59,34,9,6,3,1,8,9
60,53,3,8,9,1,1,3
61,57,7,4,10,8,6,1
62,21,6,3,6,10,4,5
63,19,8,9,10,2,1,7
64,23,9,3,10,3,7,6
65,59,5,9,6,2,9,1
66,21,1,2,1,3,4,5
67,46,3,2,4,7,4,5
68,35,8,2,10,1,6,6
69,43,6,6,6,10,3,3
70,61,8,3,6,8,6,5
71,51,9,9,5,10,7,7
72,27,4,4,1,10,10,5
73,53,1,1,8,10,10,5
74,31,1,4,5,2,3,5
75,48,4,1,5,3,7,10
76,32,7,5,7,9,3,10
77,25,2,4,4,7,2,3
78,31,3,8,6,4,10,1
79,40,1,8,4,10,4,5
80,57,5,7,3,5,8,9
81,38,1,3,7,2,9,1
82,33,8,1,8,8,7,3
83,62,1,1,4,4,1,4
84,35,1,3,2,9,3,1
85,64,2,6,10,5,9,1
86,41,2,7,3,9,1,8
87,43,6,6,1,4,9,2
88,42,7,6,8,10,8,8
89,62,5,6,3,5,1,7
90,58,1,3,10,9,6,10
91,46,1,6,7,8,5,10
92,32,3,8,10,3,6,2
93,62,2,2,5,1,10,6
94,18,5,5,10,3,5,6
95,42,6,1,5,4,6,3
96,24,7,1,7,2,5,2
97,26,4,5,9,1,5,1
98,41,7,3,5,7,4,6
99,18,8,4,1,8,3,5
100,61,1,3,10,7,3,9
